"hid","dist","upazila","union","gender","res_type1","res_type2","ec1","e2_1","ec2","e2_2","ec3","e2_3","ec4","e2_4","ec5","e2_5","ec6","e2_6","ec7","e2_7","ec8","e2_8","ec9","e2_9","ec10","e2_10","ec11","e2_11","ec12","e2_12","ec13","e2_13","ec14","e2_14","ec15","e2_15","ec16","e2_16","ec17","e2_17","ec18","e2_18","ec19","e2_19","ec20","e2_20","ec21","e2_21","ec22","e2_22","ec23","e2_23","ec24","e2_24","ec25","e2_25","ec26","e2_26","ec27","e2_27","ec28","e2_28","ec29","e2_29","ec30","e2_30","ec31","e2_31","ec32","e2_32","ec33","e2_33","ec34","e2_34","ec35","e2_35","ec36","e2_36","ec37","e2_37","ec38","e2_38","ec39","e2_39","ec40","e2_40","ec41","e2_41","ec42","e2_42","ec43","e2_43","ec44","e2_44","ec45","e2_45","ec46","e2_46","ec47","e2_47","ec48","e2_48","ec49","e2_49","ec50","e2_50","ec51","e2_51","ec52","e2_52","ec53","e2_53","ec54","e2_54","ec55","e2_55","ec56","e2_56","Radio","TV_BW","TV_Col","Computer","Mobile","CDPlayer","Clock_watch","Fan","Iron","SolarPanel","Generator","Bicycle","Rickshaw","TricycleVan","Boat","Motorcycle","Car","Stove","Buckets","Pots","SewingMachine","Bed","Cabinet","Table","Trunk","Net","Saw","Hammer","Spade","Axe","Shovel","Sickle","Weeder","Harrower","Plough","Cow","Goat","Duck","Donkey","PestSprayer","Pushcart","Tiller","HandTubewell","LowLiftPump","ShallowTubewell","ElectricPump","Chicken","Quail","Pigeon","ChargerLight","TorchLight","Buffalo","Refrigerator","DressingTable","SofaSet","Pig"
378,1,4,13,2,1,3,0,0,0,0,3,1,0,0,5,1,0,0,7,1,8,1,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,19,2,20,15,0,0,22,2,23,4,24,5,0,0,0,0,0,0,0,0,29,1,30,2,31,1,32,2,33,1,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,47,4,0,0,0,0,50,1,51,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,15,0,2,4,5,0,0,0,0,1,2,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,1,1,0,0,0,0,0
379,1,4,13,2,1,3,0,0,0,0,0,0,0,0,5,1,0,0,0,0,8,1,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,19,2,20,13,0,0,22,2,23,1,24,1,25,1,0,0,0,0,0,0,0,0,30,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,13,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
380,1,4,13,1,1,3,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,19,1,20,20,0,0,22,1,23,1,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
381,2,5,14,2,1,2,0,0,2,1,0,0,0,0,5,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,19,1,20,15,0,0,22,2,23,1,24,1,0,0,0,0,27,1,28,1,29,1,30,1,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,51,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,15,0,2,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
382,2,5,14,2,1,3,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,19,10,20,18,0,0,22,2,0,0,0,0,0,0,0,0,27,1,28,1,29,1,30,1,0,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,18,0,2,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
383,2,5,14,2,1,3,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,19,1,20,15,0,0,22,1,23,1,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,3,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,15,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
384,2,5,14,2,1,2,0,0,0,0,0,0,0,0,5,1,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,19,2,20,20,0,0,22,3,23,2,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,15,0,0,0,0,0,0,51,1,0,0,0,0,54,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,2,20,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,1,0,0
385,2,5,14,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,18,2,19,1,20,12,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
386,2,5,14,2,1,3,0,0,0,0,0,0,0,0,5,1,0,0,0,0,8,2,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,18,1,19,2,20,20,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,29,1,30,1,0,0,32,2,0,0,0,0,0,0,36,2,0,0,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,2,20,0,2,0,0,0,0,0,0,1,1,0,2,0,0,0,2,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
387,2,5,14,2,1,3,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,19,2,20,20,0,0,22,4,23,3,24,5,0,0,26,1,0,0,0,0,29,1,0,0,0,0,32,1,0,0,0,0,0,0,36,2,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,20,0,4,3,5,0,1,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
