"hid","dist","upazila","union","gender","res_type1","res_type2","ec1","e2_1","ec2","e2_2","ec3","e2_3","ec4","e2_4","ec5","e2_5","ec6","e2_6","ec7","e2_7","ec8","e2_8","ec9","e2_9","ec10","e2_10","ec11","e2_11","ec12","e2_12","ec13","e2_13","ec14","e2_14","ec15","e2_15","ec16","e2_16","ec17","e2_17","ec18","e2_18","ec19","e2_19","ec20","e2_20","ec21","e2_21","ec22","e2_22","ec23","e2_23","ec24","e2_24","ec25","e2_25","ec26","e2_26","ec27","e2_27","ec28","e2_28","ec29","e2_29","ec30","e2_30","ec31","e2_31","ec32","e2_32","ec33","e2_33","ec34","e2_34","ec35","e2_35","ec36","e2_36","ec37","e2_37","ec38","e2_38","ec39","e2_39","ec40","e2_40","ec41","e2_41","ec42","e2_42","ec43","e2_43","ec44","e2_44","ec45","e2_45","ec46","e2_46","ec47","e2_47","ec48","e2_48","ec49","e2_49","ec50","e2_50","ec51","e2_51","ec52","e2_52","ec53","e2_53","ec54","e2_54","ec55","e2_55","ec56","e2_56","Radio","TV_BW","TV_Col","Computer","Mobile","CDPlayer","Clock_watch","Fan","Iron","SolarPanel","Generator","Bicycle","Rickshaw","TricycleVan","Boat","Motorcycle","Car","Stove","Buckets","Pots","SewingMachine","Bed","Cabinet","Table","Trunk","Net","Saw","Hammer","Spade","Axe","Shovel","Sickle","Weeder","Harrower","Plough","Cow","Goat","Duck","Donkey","PestSprayer","Pushcart","Tiller","HandTubewell","LowLiftPump","ShallowTubewell","ElectricPump","Chicken","Quail","Pigeon","ChargerLight","TorchLight","Buffalo","Refrigerator","DressingTable","SofaSet","Pig"
1,1,4,11,1,4,6,0,0,0,0,3,2,0,0,5,5,0,0,7,3,8,5,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,18,2,19,5,20,13,0,0,22,2,0,0,24,10,0,0,0,0,0,0,28,1,29,1,30,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,7,0,0,0,0,50,1,51,2,0,0,53,1,54,1,0,0,0,0,0,0,2,0,5,0,3,5,0,0,0,0,0,1,0,0,0,2,5,13,0,2,0,10,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,2,0,1,1,0,0
2,1,4,11,2,4,5,0,0,0,0,3,1,0,0,5,1,0,0,7,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,20,10,0,0,22,2,23,1,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,10,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3,1,4,11,2,4,6,0,0,0,0,3,1,0,0,5,2,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,20,10,0,0,22,2,23,2,24,2,0,0,26,1,0,0,28,1,29,1,30,1,31,1,0,0,0,0,34,1,0,0,36,3,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,10,0,2,2,2,0,1,0,1,1,1,1,0,0,1,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,1,4,11,2,4,6,0,0,0,0,3,1,0,0,5,2,0,0,0,0,8,2,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,18,1,19,1,20,14,0,0,22,3,23,1,24,4,0,0,0,0,27,1,28,1,29,1,30,1,0,0,0,0,0,0,0,0,0,0,36,2,37,1,38,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,16,0,0,0,0,0,0,0,0,0,0,53,1,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,1,1,14,0,3,1,4,0,0,1,1,1,1,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0
5,1,4,11,2,4,5,0,0,0,0,3,2,0,0,5,4,0,0,0,0,8,2,0,0,0,0,0,0,12,1,0,0,0,0,0,0,16,1,0,0,18,1,19,3,20,20,21,2,22,3,23,2,24,5,0,0,0,0,27,1,28,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2,0,0,0,1,0,0,0,1,0,1,3,20,2,3,2,5,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
6,1,4,11,2,4,6,0,0,0,0,3,1,0,0,5,2,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,19,2,20,10,0,0,22,2,23,2,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,37,1,38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,35,0,0,49,15,0,0,0,0,0,0,53,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2,10,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,35,0,15,0,0,0,1,0,0,0
7,1,4,11,1,4,5,0,0,0,0,3,1,0,0,5,2,0,0,0,0,8,2,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,18,1,19,2,20,16,21,1,22,3,23,1,24,2,25,2,0,0,0,0,0,0,29,1,30,1,31,1,0,0,0,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,10,0,0,0,0,0,0,51,1,0,0,53,1,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,1,2,16,1,3,1,2,2,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,1,0,0,0
8,1,4,11,2,4,5,0,0,0,0,3,1,0,0,5,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,19,1,20,12,0,0,22,1,23,1,24,3,25,1,0,0,27,2,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,5,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,12,0,1,1,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0
9,1,4,11,2,4,5,0,0,0,0,3,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,18,1,19,1,20,10,0,0,22,2,23,1,24,4,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,10,0,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
10,1,4,11,2,4,5,0,0,0,0,3,1,0,0,5,5,0,0,0,0,8,8,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,18,1,19,5,20,15,0,0,22,3,23,4,24,2,25,1,0,0,0,0,28,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0,36,8,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,50,1,51,1,0,0,53,1,54,1,0,0,0,0,0,0,1,0,5,0,0,8,0,0,0,1,0,0,0,0,0,1,5,15,0,3,4,2,1,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0
11,1,4,11,2,4,5,0,0,0,0,3,1,0,0,5,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,19,1,20,15,0,0,22,1,23,2,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,15,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
12,1,4,11,2,4,5,0,0,0,0,0,0,0,0,5,1,0,0,0,0,8,1,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,18,1,19,2,20,20,21,1,22,1,23,1,24,2,0,0,0,0,27,1,0,0,29,1,30,1,0,0,0,0,0,0,34,1,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,2,20,1,1,1,2,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
13,1,4,11,2,4,6,0,0,0,0,3,1,0,0,5,2,0,0,7,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,19,3,20,20,21,1,22,3,23,3,24,7,25,1,0,0,0,0,0,0,29,1,30,2,0,0,0,0,0,0,0,0,0,0,36,4,37,8,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4,0,0,0,0,50,1,0,0,0,0,0,0,54,1,55,1,0,0,0,0,1,0,2,0,1,3,0,0,0,0,0,0,1,0,0,0,3,20,1,3,3,7,1,0,0,0,1,2,0,0,0,0,0,4,8,3,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,1,0
14,1,4,11,2,4,5,0,0,0,0,0,0,0,0,5,2,0,0,7,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,20,20,0,0,22,2,23,2,24,4,0,0,0,0,27,1,28,1,29,1,0,0,31,1,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,54,1,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,3,20,0,2,2,4,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
15,1,4,11,2,4,6,0,0,0,0,0,0,0,0,5,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,20,15,21,2,22,2,23,1,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,15,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
16,1,4,11,2,4,5,0,0,0,0,3,1,0,0,5,2,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,19,1,20,6,21,1,22,2,23,1,24,1,0,0,0,0,27,1,28,1,29,1,30,1,0,0,32,1,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,6,1,2,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
17,1,4,11,2,4,6,0,0,0,0,3,1,0,0,5,1,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,19,2,20,15,0,0,22,2,23,2,24,1,0,0,26,1,27,1,28,1,29,1,30,1,0,0,32,1,0,0,0,0,0,0,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,15,0,2,2,1,0,1,1,1,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
18,1,4,11,2,4,6,0,0,0,0,3,1,0,0,5,2,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,19,2,20,20,21,1,22,3,23,2,24,1,0,0,26,1,27,1,28,1,29,1,30,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,38,4,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,47,2,0,0,0,0,50,1,0,0,52,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,2,20,1,3,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0
19,1,4,11,2,4,5,0,0,0,0,0,0,0,0,5,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,20,5,0,0,22,6,23,1,24,4,25,1,0,0,27,1,28,1,29,1,30,1,31,1,32,2,0,0,34,1,0,0,36,3,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,47,5,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0,6,1,4,1,0,1,1,1,1,1,2,0,1,0,3,0,0,0,0,0,0,1,0,0,0,5,0,0,2,0,0,0,0,0,0
20,1,4,11,1,4,5,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,19,1,20,8,0,0,22,4,0,0,0,0,25,1,26,1,27,1,28,1,29,1,30,1,31,1,32,2,0,0,0,0,0,0,36,1,37,2,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,47,8,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,4,0,0,1,1,1,1,1,1,1,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,8,0,0,1,0,0,0,0,0,0
21,1,4,11,2,4,5,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,20,7,0,0,22,2,23,1,24,4,0,0,0,0,0,0,0,0,29,1,30,1,0,0,32,2,0,0,0,0,35,2,36,3,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,3,0,0,0,0,0,0,51,1,0,0,53,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,7,0,2,1,4,0,0,0,0,1,1,0,2,0,0,2,3,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0
22,1,4,11,2,4,5,0,0,0,0,3,1,0,0,5,2,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,19,1,20,20,0,0,22,2,23,2,24,4,0,0,26,1,27,1,28,1,29,1,30,1,31,1,32,2,0,0,0,0,0,0,36,1,0,0,38,2,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,47,3,0,0,0,0,0,0,51,2,0,0,0,0,54,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,20,0,2,2,4,0,1,1,1,1,1,1,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,1,0,0
23,1,4,11,2,4,5,0,0,0,0,0,0,0,0,5,3,0,0,7,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,20,17,0,0,22,4,23,3,0,0,0,0,26,2,0,0,0,0,29,1,30,2,0,0,32,2,0,0,34,1,35,2,36,4,37,4,38,2,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,47,13,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,17,0,4,3,0,0,2,0,0,1,2,0,2,0,1,2,4,4,2,0,0,0,0,1,0,0,0,13,0,0,0,2,0,0,0,0,0
24,1,4,11,2,4,5,0,0,0,0,0,0,0,0,5,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,20,30,21,1,22,2,23,1,24,2,0,0,0,0,0,0,0,0,29,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,37,1,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,30,1,2,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
25,1,4,11,1,4,6,0,0,0,0,0,0,0,0,5,2,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,20,10,0,0,22,2,23,1,24,1,0,0,26,2,0,0,0,0,29,1,30,1,0,0,32,1,0,0,0,0,35,1,36,2,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,10,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,10,0,2,1,1,0,2,0,0,1,1,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0
26,1,4,11,2,4,6,0,0,0,0,3,1,0,0,5,2,0,0,7,1,8,2,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,19,4,20,15,0,0,22,2,23,1,24,2,25,1,0,0,0,0,0,0,29,1,30,1,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,5,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,2,0,0,0,0,0,0,4,15,0,2,1,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0
27,1,4,11,2,4,5,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,19,1,20,10,0,0,22,2,0,0,0,0,25,1,26,2,0,0,0,0,29,1,30,1,0,0,32,1,33,1,34,1,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,5,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,0,2,0,0,1,2,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0
28,1,4,11,2,4,5,0,0,0,0,3,1,0,0,5,1,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,18,1,19,3,20,20,0,0,22,2,23,2,24,3,0,0,26,1,27,1,28,1,29,1,30,1,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,11,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,3,20,0,2,2,3,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0
29,1,4,11,2,4,5,0,0,0,0,0,0,0,0,5,1,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,18,1,19,2,20,12,0,0,22,2,23,1,0,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,2,12,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
30,1,4,11,2,4,6,0,0,0,0,3,1,0,0,5,1,0,0,7,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,18,1,19,2,20,25,0,0,22,3,23,1,24,4,25,1,26,2,27,1,28,1,29,1,30,1,31,1,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,1,0,0,1,2,25,0,3,1,4,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
31,1,4,12,2,4,6,0,0,0,0,0,0,0,0,5,1,0,0,7,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,19,2,20,20,21,1,22,2,23,1,24,3,25,1,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,20,1,2,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
32,1,4,12,2,4,6,0,0,0,0,0,0,0,0,5,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,19,2,20,30,0,0,22,2,23,1,24,3,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,33,1,0,0,0,0,36,2,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,30,0,2,1,3,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
33,1,4,12,2,4,7,0,0,0,0,3,1,0,0,5,3,0,0,7,3,8,4,9,1,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,18,2,19,4,20,35,0,0,22,5,23,3,24,9,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,51,2,0,0,0,0,54,1,55,1,0,0,0,0,1,0,3,0,3,4,1,0,0,1,0,0,0,0,0,2,4,35,0,5,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,0
34,1,4,12,2,4,6,0,0,0,0,3,1,0,0,5,3,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,19,5,20,40,0,0,22,4,23,4,24,5,25,2,0,0,0,0,0,0,29,2,30,1,0,0,32,2,33,1,0,0,0,0,36,3,0,0,38,2,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,47,10,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,2,5,40,0,4,4,5,2,0,0,0,2,1,0,2,1,0,0,3,0,2,0,0,0,0,1,0,0,0,10,0,0,2,0,0,0,0,0,0
35,1,4,12,2,4,7,0,0,0,0,3,1,0,0,5,2,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,20,50,21,1,22,2,23,2,24,5,0,0,0,0,0,0,28,1,29,1,0,0,0,0,32,1,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,47,2,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,50,1,2,2,5,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
36,1,4,12,2,4,6,0,0,0,0,3,1,0,0,5,4,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,20,40,0,0,22,4,23,4,24,7,0,0,0,0,0,0,0,0,29,2,30,1,31,2,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,50,1,51,1,0,0,53,1,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,4,40,0,4,4,7,0,0,0,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
37,1,4,12,2,4,7,0,0,0,0,3,1,0,0,5,1,0,0,7,1,8,1,0,0,10,1,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,19,1,20,20,0,0,22,1,23,1,24,2,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,51,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,20,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
